Date,Code,mentions,engagement,mentions_7d_ma,daily_growth,weekly_growth,log_weight,popularity,valid
2025-12-02,6800,72,724.7702866406596,20.166666666666668,4.999999999583333,2.5702479337568467,4.290459441148391,19.91728954983258,True
2025-12-02,207940,77,471.8540641311689,45.5,4.499999999678572,0.6923076922924768,4.356708826689592,15.433101768097469,True
2025-12-02,47050,68,1025.5416029355213,21.833333333333332,1.9565217390453686,2.114503816697046,4.23410650459726,11.325266904538593,True
2025-12-02,24110,11,132.09494380290886,3.857142857142857,4.49999999775,1.851851851371742,2.4849066497880004,10.506344637720279,True
2025-12-02,28260,22,394.07156370176943,11.571428571428571,3.39999999932,0.9012345678233501,3.1354942159291497,9.918361278026246,True
2025-12-03,10140,80,1167.0080403194368,42.5,14.999999997,0.8823529411557094,4.394449154672439,43.92624645757557,True
2025-12-03,28260,64,1069.9176444086522,17.714285714285715,1.9090909090041321,2.6129032256589486,4.174387269895637,11.934987326241833,True
2025-12-03,30200,42,570.4083549995889,14.142857142857142,1.3333333332592592,1.9696969695576982,3.7612001156935624,8.511571524968415,True
2025-12-03,278470,104,847.4953178824065,76.5,1.1224489795689296,0.35947712417830746,4.653960350157523,6.500882567297969,True
2025-12-03,3490,41,438.35178861588275,23.571428571428573,1.0499999999475,0.739393939362571,3.7376696182833684,5.8942961378336065,True
2025-12-04,270,106,898.0628924427425,54.5,34.33333332188889,0.9449541284230284,4.672828834461906,100.74705871334324,True
2025-12-04,12330,82,692.0743467361908,23.0,4.124999999742188,2.5652173911928164,4.418840607796598,18.08720012437785,True
2025-12-04,96770,39,365.8457532473146,13.142857142857142,4.5714285707755105,1.9673913041981335,3.6888794541139363,15.383033690044838,True
2025-12-04,259960,126,1634.0744424882505,55.75,2.5999999999257146,1.2600896860760522,4.844187086458591,12.958353373834688,True
2025-12-04,86280,15,157.8804015330085,5.857142857142857,3.9999999986666666,1.5609756094895895,2.772588722239781,10.412650970408636,True
2025-12-05,307950,216,1835.8184655912278,124.0,5.7499999998203135,0.7419354838649844,5.37989735354046,23.163576671274097,True
2025-12-05,329180,143,3082.9466431117803,83.5,4.9583333331267365,0.7125748502908673,4.969813299576001,19.41532632612518,True
2025-12-05,42700,209,2887.9800702930916,127.0,3.644444444363457,0.6456692913334986,5.3471075307174685,16.260790573044538,True
2025-12-05,247540,192,2401.483288995755,124.0,2.4285714285280613,0.548387096769771,5.262690188904886,11.93659124959746,True
2025-12-05,5935,61,583.9090354433694,26.142857142857142,1.9047619046712019,1.3333333332823316,4.127134385045092,9.466445885931082,True
2025-12-06,5380,158,3000.016989065655,83.0,18.74999999765625,0.9036144578204384,5.0689042022202315,62.05998891944632,True
2025-12-06,42660,126,4788.003404048762,90.5,1.29090909088562,0.3922651933658313,4.844187086458591,7.901756526843294,True
2025-12-06,0126Z0,108,2345.1896127471987,83.0,0.8620689655023782,0.3012048192734795,4.6913478822291435,6.096001025711475,True
2025-12-06,35420,87,1718.0050944117493,85.0,0.04819277108375671,0.023529411764429065,4.477336814478207,3.1514051890928814,True
2025-12-06,39490,3,13.216072275841679,3.0,1.9999999979999998,0.0,1.3862943611198906,2.7253025016638537,True
2025-12-07,5930,503,6349.060965474824,288.0,5.890410958823419,0.7465277777751856,6.222576268071369,27.352737155394376,True
2025-12-07,196170,214,4878.827663494889,145.0,1.8157894736603184,0.4758620689622355,5.3706380281276624,10.270588041819648,True
2025-12-07,298380,212,7504.489171084146,148.5,1.4941176470412456,0.42760942760654813,5.3612921657094255,9.292612339643167,True
2025-12-07,12450,11,242.2817637272412,49.5,4.49999999775,-0.7777777777620651,2.4849066497880004,8.133853999516047,True
2025-12-07,35420,121,2163.6525229916288,97.0,0.39080459769665743,0.24742268040982038,4.804021044733257,4.673915664518006,True
2025-12-08,298380,3,25.05961231898692,100.0,-0.9858490565991234,-0.9699999999903,1.3862943611198906,-0.053733726913103075,True
2025-12-08,196170,6,89.69380459654401,98.66666666666667,-0.9719626168178881,-0.9391891891796703,1.9459101490553132,-0.06284664308606236,True
2025-12-08,34020,5,49.15177099291172,73.5,-0.9479166666567925,-0.9319727891029663,1.791759469228055,-0.12099009500772628,True
2025-12-08,5380,8,88.07126595318441,75.0,-0.9365079365005039,-0.8933333333214222,2.1972245773362196,-0.22399781911777494,True
2025-12-08,6400,3,7.529429087511423,49.333333333333336,-0.69999999993,-0.9391891891701516,1.3862943611198906,-0.24563173067590238,True
