Date,Stock,Code,post_count,engagement_sum,daily_growth,weekly_growth,growth_rate,norm_engagement,popularity,valid
2026-04-15,삼성전자,005930,48,441.00009220591187,-0.9041916167664671,-0.9041916167664671,-0.9041916167664671,0.055231369071427755,0.005291628174508047,True
2026-04-15,SK하이닉스,000660,24,220.95010142444343,-0.9553903345724907,-0.9553903345724907,-0.9553903345724907,0.027603223202716517,0.0012313705517940463,True
2026-04-15,하이브,352820,6,39.6364177748177,-0.9773584905660377,-0.9773584905660377,-0.9773584905660377,0.004838573760672148,0.00010955261344918069,True
2026-04-15,현대차,005380,7,34.751094658681986,-0.9743589743589743,-0.9743589743589743,-0.9743589743589742,0.004225202139119,0.00010833851638766722,True
2026-04-15,NAVER,035420,6,38.553986590576365,-0.9772727272727273,-0.9772727272727273,-0.9772727272727273,0.004702670248270911,0.00010687886927888424,True
2026-04-15,삼성SDI,006400,5,20.552957837420784,-0.9794238683127572,-0.9635036496350365,-0.9730557808416689,0.002442569957364964,6.581314024079709e-05,True
2026-04-15,두산에너빌리티,034020,4,32.646789060650974,-0.9854014598540146,-0.9854014598540146,-0.9854014598540146,0.003960998256136413,5.7824792060385515e-05,True
2026-04-15,셀트리온,068270,5,17.53049493059153,-0.9806201550387597,-0.9806201550387597,-0.9806201550387597,0.002063087796170163,3.998232163120478e-05,True
2026-04-15,S-Oil,010950,3,15.129825994746858,-0.9798657718120806,-0.9781021897810219,-0.979160338999657,0.0017616743250472822,3.671269572699335e-05,True
2026-04-15,현대제철,004020,2,8.472270673671474,-0.9629629629629629,-0.9574468085106383,-0.9607565011820332,0.0009257919472000044,3.63313151856266e-05,False
